City,State,Shape,Duration.in.seconds,Description,Date,Longitude,Latitute,Duration
North Miami Beach,FL,Other,3600,A Manta Ray Shaped Object With Orange And Yellow Lights Flashing In,10/11/2005,25.9327778,-80.1627778,3600
East Wenatchee,WA,Light,1200,Strange Light Over East Wenatchee Washington,10/20/2005,47.4158333,-120.2919444,1200
Hendersonville,NC,Light,600,Last Night October 10 At About 11:00Pm For About Ten Minutes I Observed A Peculiar Point Source Light In The Eastern Sky. It Was At A,10/11/2005,35.3186111,-82.4611111,600
Brainerd,MN,Disk,300,A Big Lighted Up Silver Saucer.,10/30/2006,46.3580556,-94.2005556,300
Pennington,TX,Diamond,3600,In Form Of Diamond With Multi Colored Lights That Acted Like Disco Light Except One.  Theone Light Was Like A Brite Star And Would Resp,2/1/2007,31.1911111,-95.2352778,3600
San Francisco,CA,Triangle,600,Black Triangles Were Seen Flying Across The Surface Of The Full Moon,10/30/2006,37.775,-122.4183333,600
Blairsville,GA,Unknown,10,Intermittant Streak By Moon Not Seen On Photo Taken 10 Seconds Earlier.,10/30/2006,34.8761111,-83.9583333,10
Savannah,TN,Light,600,Weird Light That Moved In The Sky,10/30/2006,35.2247222,-88.2491667,600
Waynesboro,VA,Triangle,600,Large...Beautiful...And Brighter Than Anything Ive Ever Seen....How Small I Have Felt Since....,10/30/2006,38.0683333,-78.8897222,600
Bray,OK,Other,360,Glowing V Shaped Object Flying Low Making No Sound.,12/12/2009,34.6377778,-97.8172222,360
Waycross,GA,Light,120,Redish Orange Light Viewed From Waycross Ga. Moving Northwest And Suddenly Just Goes Out.,10/30/2006,31.2133333,-82.3541667,120
Wolfforth,TX,Disk,300,Huge Aircraft With Diagnally Aligned White Lights Moving Slowly And Loudly Through The Night.,10/30/2006,33.5058333,-102.0086111,300
Lyndhurst,OH,Unknown,300,This Is A Follow Up To My Feb. 16Th 1995 Report.  This Past Tuesday My Wife And I Again Heard The Same Loud Rumbling Roar That We He,10/30/2006,41.52,-81.4888889,300
Lebanon,OR,Light,14400,Small Orange-White Star That Moves Around In Circles Up Down And Sideways Fast In The Night Sky,11/28/2007,44.5366667,-122.9058333,14400
Stockbridge,GA,Changing,3600,I Was Abducted,11/28/2007,33.5441667,-84.2338889,3600
Denver,CO,Changing,2700,Huge Lighted Cluster In The Eastern Sky.  ((Nuforc Note:  Sighting Of Venus.  Pd)),11/28/2007,39.7391667,-104.9841667,2700
Jacksonville,FL,Sphere,30,Half Mile From De Saint Jhons River Low Flying Sphere   At Slow Speed Without Noise,3/4/2008,30.3319444,-81.6558333,30
Indio,CA,Oval,600,Observed 2 White Clouds Of Identical Shape In Clear Blue Shy With Object Becoming Visible Beneath One Cloud.,6/9/2009,33.7205556,-116.2147222,600
Owego,NY,Triangle,10800,Triangle With 3 Llights Blinking. 500 Lights On Object0: Yes,11/28/2007,42.1033333,-76.2625,10800
Downingtown,PA,Circle,120,Star-Like (But Much Brighter And Larger) Light West Of D-Town Pa.  Seen Against Sunset.  ((Nuforc Note:  Contrail??  Pd)),11/28/2007,40.0063889,-75.7036111,120
Austin,TX,Flash,3,Pulsing Flash Recurring At 2 Second Intervals 3 Times Along The Same Trajectory Along 90 Degrees Of Sky,11/28/2007,30.2669444,-97.7427778,3
Starrsville (Covington),GA,Sphere,60,Mufon Georgia Follow-Up Report:  Joint Nuforc-Mufon Of Georgia Investigation-Fiery Sphere Shaped Object,6/12/2008,33.5394444,-83.8194444,60
